source,date,common_name,species,longitude,latitude
Reef Life Survey: Global reef fish dataset,2016-06-09,Common Coral Trout,Plectropomus leopardus,152.39,-19.1
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-09-01,Common Coral Trout,Plectropomus leopardus,145.37527,-14.76455
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2016-11-10,Snapper,Chrysophrys auratus,152.60128,-32.44826
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2016-11-10,Snapper,Chrysophrys auratus,152.60367,-32.46513
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2016-11-10,Snapper,Chrysophrys auratus,152.60462,-32.4699
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2016-11-30,Snapper,Chrysophrys auratus,152.60819,-32.45805
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-12-04,Common Coral Trout,Plectropomus leopardus,145.65245,-16.04495
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-12-15,Common Coral Trout,Plectropomus leopardus,145.51498,-14.74983
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2016-12-19,Common Coral Trout,Plectropomus leopardus,145.99932,-16.92195
Reef Life Survey: Global reef fish dataset,2016-12-23,Common Coral Trout,Plectropomus leopardus,142.97,-10.79
Reef Life Survey: Global reef fish dataset,2016-12-24,Common Coral Trout,Plectropomus leopardus,143.02,-11.11
Reef Life Survey: Cryptic Fish,2017-01-01,Common Coral Trout,Plectropomus leopardus,144.68,-14
Reef Life Survey: Global reef fish dataset,2017-01-02,Common Coral Trout,Plectropomus leopardus,145.45,-14.65
Reef Life Survey: Global reef fish dataset,2017-01-03,Common Coral Trout,Plectropomus leopardus,145.47,-14.68
Reef Life Survey: Global reef fish dataset,2017-01-03,Spangled Emperor,Lethrinus nebulosus,145.46,-14.69
Reef Life Survey: Global reef fish dataset,2017-01-04,Common Coral Trout,Plectropomus leopardus,145.45,-14.66
Reef Life Survey: Global reef fish dataset,2017-01-04,Common Coral Trout,Plectropomus leopardus,145.45,-14.66
Lizard Island Research Station,2017-01-11,Common Coral Trout,Plectropomus leopardus,145.439957,-14.683929
Lizard Island Research Station,2017-01-12,Common Coral Trout,Plectropomus leopardus,145.461122,-14.69993
Lizard Island Research Station,2017-01-12,Common Coral Trout,Plectropomus leopardus,145.446659,-14.698872
iNaturalist Australia,2017-01-12,Snapper,Chrysophrys auratus,153.23765,-26.632424
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-01-23,Common Coral Trout,Plectropomus leopardus,152.66857,-22.0018
Reef Life Survey: Global reef fish dataset,2017-02-03,Common Coral Trout,Plectropomus leopardus,148.72,-19.52
Reef Life Survey: Global reef fish dataset,2017-02-08,Common Coral Trout,Plectropomus leopardus,150.24,-21.65
Reef Life Survey: Global reef fish dataset,2017-02-12,Common Coral Trout,Plectropomus leopardus,151.87,-21.79
Reef Life Survey: Global reef fish dataset,2017-02-15,Common Coral Trout,Plectropomus leopardus,151.77,-23.25
Reef Life Survey: Global reef fish dataset,2017-02-15,Common Coral Trout,Plectropomus leopardus,151.78,-23.24
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-02-28,Common Coral Trout,Plectropomus leopardus,148.89940000000001,-20.05698
iNaturalist Australia,2017-03-01,Snapper,Chrysophrys auratus,153.4275,-27.9707
Reef Life Survey: Global reef fish dataset,2017-03-01,Snapper,Chrysophrys auratus,144.36,-38.33
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-03-02,Common Coral Trout,Plectropomus leopardus,148.87383,-20.07795
Reef Life Survey: Global reef fish dataset,2017-03-06,Common Coral Trout,Plectropomus leopardus,153.58,-21.92
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-03-06,Common Coral Trout,Plectropomus leopardus,149.4213,-19.8088
"Australian Institute of Marine Science (AIMS) Long-term Monitoring Program: Visual Census Fish Data (Great Barrier Reef), Australia (1992 to present)",2017-03-06,Spangled Emperor,Lethrinus nebulosus,149.43047,-19.80687
Reef Life Survey: Cryptic Fish,2017-03-08,Common Coral Trout,Plectropomus leopardus,152.54,-22.37
Reef Life Survey: Global reef fish dataset,2017-03-10,Common Coral Trout,Plectropomus leopardus,151.77,-23.5
Reef Life Survey: Global reef fish dataset,2017-03-10,Common Coral Trout,Plectropomus leopardus,151.78,-23.5
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-06,Snapper,Chrysophrys auratus,152.45773,-32.57751
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-06,Snapper,Chrysophrys auratus,152.45773,-32.57751
iNaturalist Australia,2017-04-16,Common Coral Trout,Plectropomus leopardus,152.710142,-24.109986
"Hunter CMR - Cross shelf comparison BRUVS data, New South Wales, Australia (2014-2018)",2017-04-18,Snapper,Chrysophrys auratus,152.59947,-32.44311
