DeployID,Ptt,DepthSensor,Source,Instr,Date,Hours,LonMethod,Type,LocationQuality,Latitude,Longitude,PerCentMLTime,MLTave,MLTmin,MLTmax,MLDExtreme,SSTAve,SSTmin,SSTmax,TempMin,DepthMin,DepthMax
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 31-Oct-2023,24,,interval,,,,62.000000,20.500000,19.700001,20.900000,75.250000,,,,19.20,18.00,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 01-Nov-2023,24,,interval,,,,79.000000,20.500000,20.000000,20.900000,78.250000,,,,19.20,11.50,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 02-Nov-2023,24,,interval,,,,58.000000,19.900000,18.700001,20.500000,79.250000,,,,17.80,24.50,84.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 05-Nov-2023,24,,interval,,,,56.000000,20.400000,19.799999,20.900000,75.250000,,,,18.50,16.00,78.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 06-Nov-2023,24,,interval,,,,56.000000,20.600000,20.100000,20.799999,81.250000,,,,18.70,9.50,88.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 07-Nov-2023,24,,interval,,,,32.000000,20.400000,19.700001,20.799999,74.250000,,,,18.30,15.00,78.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 08-Nov-2023,24,,interval,,,,42.000000,20.700000,19.799999,21.200001,68.250000,,,,18.00,12.50,78.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 09-Nov-2023,24,,interval,,,,51.000000,21.300000,20.700001,21.500000,75.250000,,,,19.50,18.00,82.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 11-Nov-2023,24,,interval,,,,73.000000,21.100000,20.400000,21.299999,76.250000,,,,19.20,14.50,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 12-Nov-2023,24,,interval,,,,74.000000,21.200000,20.700001,21.500000,84.250000,,,,19.80,11.00,84.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 13-Nov-2023,24,,interval,,,,34.000000,21.000000,19.700001,21.400000,79.250000,,,,19.30,8.50,84.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 14-Nov-2023,24,,interval,,,,48.000000,20.900000,19.799999,21.400000,68.250000,,,,17.80,6.00,84.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 15-Nov-2023,24,,interval,,,,44.000000,20.700000,18.000000,21.500000,73.250000,,,,17.40,5.50,92.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 16-Nov-2023,24,,interval,,,,17.000000,20.700000,18.600000,21.400000,58.250000,,,,17.30,7.00,80.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 17-Nov-2023,24,,interval,,,,72.000000,20.300000,18.500000,21.400000,75.250000,,,,18.50,20.00,82.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 18-Nov-2023,24,,interval,,,,93.000000,19.800000,18.500000,20.500000,76.250000,,,,16.60,8.50,84.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 19-Nov-2023,24,,interval,,,,39.000000,19.400000,18.100000,20.400000,74.250000,,,,17.10,9.00,92.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 20-Nov-2023,24,,interval,,,,32.000000,19.700000,17.799999,20.200001,71.250000,,,,17.30,10.00,86.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 21-Nov-2023,24,,interval,,,,24.000000,19.700000,19.299999,20.299999,53.250000,,,,17.20,10.00,86.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 22-Nov-2023,24,,interval,,,,8.000000,19.300000,18.100000,19.900000,51.250000,,,,16.10,23.50,173.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 23-Nov-2023,24,,interval,,,,9.000000,19.700000,18.900000,21.200001,76.250000,,,,17.20,12.50,98.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 24-Nov-2023,24,,interval,,,,6.000000,20.700000,20.100000,21.299999,57.250000,,,,17.00,19.50,86.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 25-Nov-2023,24,,interval,,,,17.000000,19.900000,18.000000,20.700001,51.250000,,,,16.70,20.50,88.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 26-Nov-2023,24,,interval,,,,8.000000,20.500000,19.799999,20.799999,70.250000,,,,17.10,18.00,90.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 28-Nov-2023,24,,interval,,,,16.000000,21.200000,20.299999,21.700001,58.250000,,,,17.70,17.00,94.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 30-Nov-2023,24,,interval,,,,14.000000,21.100000,20.799999,21.400000,80.250000,,,,17.20,32.50,129.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 01-Dec-2023,24,,interval,,,,35.000000,21.000000,20.799999,21.400000,79.250000,,,,17.40,32.50,108.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 02-Dec-2023,24,,interval,,,,22.000000,21.700000,21.000000,21.900000,54.250000,,,,17.40,20.00,137.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 03-Dec-2023,24,,interval,,,,30.000000,21.600000,21.299999,22.299999,73.250000,,,,17.10,25.50,201.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 04-Dec-2023,24,,interval,,,,25.000000,21.700000,21.299999,22.200001,84.250000,,,,17.50,23.00,225.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 05-Dec-2023,24,,interval,,,,11.000000,21.700000,21.500000,22.299999,60.250000,,,,17.30,37.50,229.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 06-Dec-2023,24,,interval,,,,39.000000,22.000000,21.000000,22.700001,94.250000,,,,17.20,10.50,267.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 07-Dec-2023,24,,interval,,,,100.000000,22.900000,22.600000,23.200001,68.250000,,,,22.60,10.50,68.50
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 08-Dec-2023,24,,interval,,,,81.000000,23.100000,22.700001,23.700001,55.250000,,,,22.50,43.50,55.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 09-Dec-2023,24,,interval,,,,100.000000,23.000000,22.799999,23.500000,47.250000,,,,22.80,40.50,47.00
227150,227150,0.500000,Transmission,MiniPAT,00:00:00 10-Dec-2023,16,,interval,,,,100.000000,23.300000,23.100000,23.700001,50.250000,,,,23.10,39.50,50.00
