Date,Ptt,Latitude,Longitude,day.at.liberty,month,DistfromStart,bathy_depth,DistToShelf,DistToShore,MinTempFromSeries,MeanTempFromSeries,MaxTempFromSeries,MinDepthFromSeries,MaxDepthFromSeries,MeanDepthFromSeries,MinTemp,MaxTemp,MinDepth,MaxDepth,MeanTempPDT,MeanDepthPDT,DistTravelled
2019-04-29,47618,-25.32,-160.525,87,Apr,1790.17655047178,-5105.56103515625,454.623529195806,455.577334396148,20.5,23.75625,23.9,2,105,31.697916666666675,20.3,23.9,1,124,22.525,51.611111111111114,3.1544237867014853
2019-04-30,47618,-25.2625,-160.275,88,Apr,1816.11118643189,-4994.59521484375,437.411595842609,438.081170372679,19.5,24.038888888888888,24.8,1.5,68.5,18.5625,19.5,25,0,165,22.4,67.61111111111111,25.97093567093656
2019-05-01,47618,-25.2083333333333,-159.9,89,May,1854.30762320401,-5197.61279296875,412.474933591811,413.072061220641,21,24.940277777777776,25.2,1.5,115,25.975694444444446,20.4,25.3,0,143,23.412499999999998,58.72222222222222,38.257307922009666
2019-05-02,47618,-25.015,-159.67,90,May,1885.90544228855,-5421.9951171875,382.525670971271,383.095492396066,12.8,24.861805555555556,25.4,1.5,411.5,33.44444444444446,11.7,25.4,0,440,19.16250000000001,177.83333333333334,31.57190853827751
2019-05-03,47618,-24.735,-159.635,91,May,1917.23958223488,-4357.81005859375,353.674914495456,354.280117217462,19.6,25.045833333333334,25.5,1.5,173.5,32.40625,11.1,25.5,0,461,18.6875,201.83333333333334,31.216892546530605
2019-05-04,47618,-24.485,-159.62,92,May,1945.07964315042,-4564,329.146688935341,329.792452503802,22.2,25.320833333333333,25.6,1.5,107.5,28.89930555555555,19.5,25.6,0,196,22.825,82.72222222222223,27.73340834315522
2019-05-05,47618,-24.33,-159.605,93,May,1962.38165242192,-4776.87744140625,313.886042366383,314.557950678832,21,25.09236111111111,25.6,1.5,144,37.09027777777775,17.4,25.6,0,272,21.775,113.83333333333333,17.235723233537705
2019-05-06,47618,-24.4875,-160.175,94,May,2022.69630224119,-4905.06005859375,358.135587462669,359.096713941218,19.7,25.32986111111111,25.7,1.5,190.5,40.18055555555554,19.3,25.7,0,204,23.012499999999996,85.38888888888889,60.388523450345446
2019-05-07,47618,-24.7875,-160.7125,95,May,2086.44672664117,-5008.375,400.907884728364,401.896791514163,21.8,25.014583333333334,25.8,1,105.5,30.211805555555568,20.9,25.9,0,128,23.775,50.72222222222222,63.76236946831099
2019-05-08,47618,-25.225,-161.25,96,May,2159.25059702077,-4681.0576171875,462.961517303929,463.752610859036,22.8,24.270833333333332,24.7,1.5,53,23.932291666666664,20.9,24.8,0,111,23.3625,44.5,72.7500867920042
