"","Date","Ptt","Latitude","Longitude","day.at.liberty","month","DistfromStart","bathy_depth","DistToShelf","DistToShore","MinTemp","MaxTemp","MinDepth","MaxDepth","MeanTempPDT","MeanDepthPDT","DistTravelled","date","rs_gsla","rs_vcur","rs_ucur","rs_current_velocity","rs_current_bearing","rs_sst_interpolated","degree_angle","radius"
"136","2023-04-17",227150,-33.125,159.2875,133,"Apr",789.047439960407,-4197.68505859375,138.267070691291,170.282894242799,22,23.9,20,76,23.4,25.1363636363636,3.00800358855944,2023-04-17,0.0576808630766179,-0.114446156898051,0.17441594311263,0.208611706384377,303.271603053093,22.6100000000001,146.728396946907,2.56089363289672
"137","2023-04-18",227150,-33.10625,159.2375,134,"Apr",794.14954278555,-4214.31494140625,136.176795294306,167.724278917611,22.5,23.8,32,73,23.25,24.9444444444444,5.10891933475598,2023-04-18,0.0419635908626188,-0.0373857445866968,0.172127019974669,0.176140298920099,282.254229398166,22.8500000000001,167.745770601834,2.92771600329711
"138","2023-04-19",227150,-33.075,159.225,135,"Apr",797.814318835932,-4251.9951171875,132.734515221545,164.168158413301,21.5,23.3,39,70,22.6,24.6428571428571,3.65700550566088,2023-04-19,0.0576808630766179,0.00366227702073764,0.181130117650649,0.181167137729542,268.841692190596,22.6200000000001,181.158307809404,3.16180893861546
"139","2023-04-20",227150,-33.05,159.24375,136,"Apr",801.097728989319,-4240.31005859375,129.9312406381,161.56993790405,21.6,23.1,28,69,22.55,24.0555555555556,3.27926346011416,2023-04-20,0.0775181969389468,-0.0192269543588726,0.153663039995117,0.154861246393212,277.132019010748,22.4800000000001,172.867980989252,3.01711543953741
"140","2023-04-21",227150,-33.025,159.25,137,"Apr",803.937996481228,-4166.43994140625,127.153496848195,158.871064112197,22.2,23,19,55,22.7,17.8333333333333,2.83343085121088,2023-04-21,0.139929501167351,0.0227366365037462,0.104985274594479,0.107419097562685,257.78018040216,22.71,192.21981959784,3.35486873957183
"141","2023-04-22",227150,-33.025,159.235,138,"Apr",805.336438659661,-4166.43994140625,127.170758439076,158.730944877799,22.1,22.9,1,52,22.7,13.5,1.40140275037715,2023-04-22,0.137945767781118,0.015564677338135,0.0755344635527139,0.0771214261073829,258.356568501238,22.6200000000001,191.643431498762,3.34480886947361
"142","2023-04-23",227150,-32.95,159.20625,139,"Apr",814.096554240436,-3918.31005859375,118.93658214049,150.206473149712,22.6,23.1,18,54,22.7,16.9444444444444,8.74110458605772,2023-04-23,0.148780003967467,0.0122075900691255,0.0315871393038622,0.0338640314300794,248.869807432134,22.6800000000001,201.130192567866,3.51038408547949
"143","2023-04-24",227150,-32.91,159.215,140,"Apr",818.61869898407,-4024.62744140625,114.471759088368,145.85818367418,22.3,23,22,54,22.6,17.7857142857143,4.5109810737224,2023-04-24,0.146185891077778,-0.0057986052828346,0.0204477133657852,0.0212540068014346,285.832386620422,22.71,164.167613379578,2.86526537861473
"144","2023-04-25",227150,-32.925,159.26875,141,"Apr",823.905866133147,-3771.9375,116.063831812092,148.053016901618,21.8,22.6,22,65,22.2,21.3888888888889,5.29584285927064,2023-04-25,0.142676208932904,-0.011139425938077,-0.00564601040697053,0.0124885645190119,26.8781397520986,22.7300000000001,63.1218602479014,1.1016842913096
"145","2023-04-26",227150,-32.925,159.3,142,"Apr",826.822588205423,-3717.12744140625,116.124156738552,148.44441670793,21.4,22.5,28,76,21.975,24.9444444444444,2.92288129455724,2023-04-26,0.151679306608884,-0.0616483298490837,-0.0102238566828926,0.0624903498042198,9.41631998626608,22.52,80.5836800137339,1.40645053961321
